a	'a
aborted	a-'bort-ed
aborting	a-'bort-ing
abortion	a-'bor-tion
abortionist	a-'bor-tion-ist
abortionists	a-'bor-tion-ists
abortions	a-'bor-tions
abortive	a-'bor-tive
abortively	a-'bor-tive-ly
aborts	a-'borts
abos	'ab-os
abound	a-'bound
abounded	a-'bound-ed
abounded in	a-'bound-ed-in
abounded with	a-'bound-ed-with
abound in	a-'bound-in
abounding	a-'bound-ing
abounding in	a-'bound-ing-in
abounding with	a-'bound-ing-with
abounds	a-'bounds
abounds in	a-'bounds-in
abounds with	a-'bounds-with
abound with	a-'bound-with
about	a-'bout
about-face	a-"bout-'face
about-faced	a-"bout-'faced
about-faces	a-"bout-'fac-es
about-facing	a-"bout-'fac-ing
about turn	a-"bout-'turn
about turns	a-"bout-'turns
above	a-'bove
aboveboard	a-"bove-'board
above board	a-"bove-'board
above-mentioned	a-"bove-'men-tioned
above-named	a-"bove-'named
abracadabra	"ab-ra-ca-'dab-ra
abrade	a-'brade
abraded	a-'brad-ed
abrades	a-'brades
abrading	a-'brad-ing
abrasion	a-'bra-sion
abrasions	a-'bra-sions
abrasive	a-'bra-sive
abrasively	a-'bra-sive-ly
abrasives	a-'bra-sives
abreast	a-'breast
abridge	a-'bridge
abridged	a-'bridged
abridges	a-'bridg-es
abridging	a-'bridg-ing
abridgment	a-'bridg-ment
abridgments	a-'bridg-ments
abroad	a-'broad
abrogate	'ab-ro-gate
abrogated	'ab-ro-gat-ed
abrogates	'ab-ro-gates
abrogating	'ab-ro-gat-ing
abrogation	"ab-ro-'ga-tion
abrogations	"ab-ro-'ga-tions
abrupt	ab-'rupt
abruptly	ab-'rupt-ly
abruptness	ab-'rupt-ness
abscess	'ab-scess
abscesses	'ab-scess-es
abscond	ab-'scond
absconded	ab-'scond-ed
absconding	ab-'scond-ing
absconds	ab-'sconds
absence	'ab-sence
absence of mind	"ab-sence-of-'mind
absences	'ab-senc-es
absent	ab-'sent
absented	ab-'sent-ed
absentee	"ab-sen-'tee
absenteeism	"ab-sen-'tee-ism
absentees	"ab-sen-'tees
absenting	ab-'sent-ing
absently	'ab-sent-ly
absent-minded	"ab-sent-'mind-ed
absent-mindedly	"ab-sent-'mind-ed-ly
absent-mindedness	"ab-sent-'mind-ed-ness
absents	ab-'sents
absinth	'ab-sinth
absolute	'ab-so-lute
absolutely	'ab-so-lute-ly
absoluteness	'ab-so-lute-ness
absolute zero	'ab-so-lute-"ze-ro
absolution	"ab-so-'lu-tion
absolutism	'ab-so-lut-ism
absolve	ab-'solve
absolved	ab-'solved
absolves	ab-'solves
absolving	ab-'solv-ing
absorb	ab-'sorb
absorbed	ab-'sorbed
absorbent	ab-'sorb-ent
absorbents	ab-'sorb-ents
absorbing	ab-'sorb-ing
absorbs	ab-'sorbs
absorption	ab-'sorp-tion
abstain	ab-'stain
abstained	ab-'stained
abstainer	ab-'stain-er
abstainers	ab-'stain-ers
abstaining	ab-'stain-ing
abstains	ab-'stains
abstention	ab-'sten-tion
abstentions	ab-'sten-tions
abstinence	'ab-sti-nence
abstinent	'ab-sti-nent
abstract	'ab-stract
abstracted	'ab-stract-ed
abstractedly	ab-'stract-ed-ly
abstracting	'ab-stract-ing
abstraction	ab-'strac-tion
abstractions	ab-'strac-tions
abstracts	'ab-stracts
abstruse	ab-'struse
abstrusely	ab-'struse-ly
abstruseness	ab-'struse-ness
absurd	ab-'surd
absurdities	ab-'surd-i-ties
absurdity	ab-'surd-i-ty
absurdly	ab-'surd-ly
abundance	a-'bun-dance
abundant	a-'bun-dant
abundantly	a-'bun-dant-ly
abuse	a-'buse
abused	a-'bused
abuses	a-'bus-es
abusing	a-'bus-ing
abusive	a-'bu-sive
abusively	a-'bu-sive-ly
abutment	a-'but-ment
abutments	a-'but-ments
abut on	a-'but-on
abuts on	a-'buts-on
abutted on	a-'but-ted-on
abutting on	a-'but-ting-on
abysmal	a-'bys-mal
abysmally	a-'bys-mal-ly
abyss	a-'byss
abysses	a-'byss-es
acacia	a-'ca-cia
acacias	a-'ca-cias
academic	"ac-a-'dem-ic
academically	"ac-a-'dem-i-cal-ly
academicals	"ac-a-'dem-i-cals
academician	a-"cad-e-'mi-cian
academicians	ac-"a-de-'mi-cians
academics	"ac-a-'dem-ics
academies	a-'cad-e-mies
academy	a-'cad-e-my
accede	ac-'cede
acceded	ac-'ced-ed
accedes	ac-'cedes
acceding	ac-'ced-ing
accelerando	ac-"cel-er-'an-do
accelerandos	ac-"cel-er-'an-dos
accelerate	ac-'cel-er-ate
accelerated	ac-'cel-er-at-ed
accelerates	ac-'cel-er-ates
accelerating	ac-'cel-er-at-ing
acceleration	ac-"cel-er-'a-tion
accelerator	ac-'cel-er-a-tor
accelerators	ac-'cel-er-a-tors
accent	ac-'cent
accented	ac-'cent-ed
accenting	ac-'cent-ing
accents	ac-'cents
accentuate	ac-'cen-tu-ate
accentuated	ac-'cen-tu-at-ed
accentuates	ac-'cen-tu-ates
accentuating	ac-'cen-tu-at-ing
accentuation	ac-"cen-tu-'a-tion
accentuations	ac-"cen-tu-'a-tions
accept	ac-'cept
acceptability	ac-"cept-a-'bil-i-ty
acceptable	ac-'cept-a-ble
acceptably	ac-'cept-a-bly
acceptance	ac-'cept-ance
acceptances	ac-'cep-tanc-es
acceptation	"ac-cep-'ta-tion
acceptations	"ac-cep-'ta-tions
accepted	ac-'cept-ed
accepting	ac-'cept-ing
accepts	ac-'cepts
access	'ac-cess
accessibility	ac-"ces-si-'bil-i-ty
accessible	ac-'ces-si-ble
accession	ac-'ces-sion
accessions	ac-'ces-sions
accessories	ac-'ces-so-ries
accessory	ac-'ces-so-ry
accidence	'ac-ci-dence
accident	'ac-ci-dent
accidental	"ac-ci-'den-tal
accidentally	"ac-ci-'den-tal-ly
accident-prone	'ac-ci-dent-prone
accidents	'ac-ci-dents
acclaim	ac-'claim
acclaimed	ac-'claimed
acclaiming	ac-'claim-ing
acclaims	ac-'claims
acclamation	"ac-cla-'ma-tion
acclimate	'ac-cli-mate
acclimated	'ac-cli-mat-ed
acclimates	'ac-cli-mates
acclimating	'ac-cli-mat-ing
acclimation	"ac-cli-'ma-tion
acclimatization	ac-"cli-ma-ti-'za-tion
acclimatize	ac-'cli-ma-tize
acclimatized	ac-'cli-ma-tized
acclimatizes	ac-'cli-ma-tiz-es
acclimatizing	ac-'cli-ma-tiz-ing
acclivities	ac-'cliv-i-ties
acclivity	ac-'cliv-i-ty
accolade	'ac-co-lade
accolades	'ac-co-lades
accommodate	ac-'com-mo-date
accommodated	ac-'com-mo-dat-ed
accommodates	ac-'com-mo-dates
accommodating	ac-'com-mo-dat-ing
accommodatingly	ac-'com-mo-dat-ing-ly
accommodation	ac-"com-mo-'da-tion
accommodations	ac-"com-mo-'da-tions
accompanied	ac-'com-pa-nied
accompanies	ac-'com-pa-nies
accompaniment	ac-'com-pa-ni-ment
accompaniments	ac-'com-pa-ni-ments
accompanist	ac-'com-pa-nist
accompanists	ac-'com-pa-nists
accompany	ac-'com-pa-ny
accompanying	ac-'com-pa-ny-ing
accomplice	ac-'com-plice
accomplices	ac-'com-plic-es
accomplish	ac-'com-plish
accomplished	ac-'com-plished
accomplished fact	ac-"com-plished-'fact
accomplishes	ac-'com-plish-es
accomplishing	ac-'com-plish-ing
accomplishment	ac-'com-plish-ment
accomplishments	ac-'com-plish-ments
accord	ac-'cord
accordance	ac-'cord-ance
accorded	ac-'cord-ed
according	ac-'cord-ing
according as	ac-'cord-ing-as
accordingly	ac-'cord-ing-ly
according to	ac-'cord-ing-to
accords	ac-'cords
accost	ac-'cost
accosted	ac-'cost-ed
accosting	ac-'cost-ing
accosts	ac-'costs
accouchement	ac-'couche-ment
accouchements	ac-'couche-ments
account	ac-'count
accountable	ac-'count-a-ble
accountably	ac-'count-a-bly
accountancy	ac-'count-an-cy
accountant	ac-'count-ant
accountants	ac-'count-ants
accounted	ac-'count-ed
accounted for	ac-'count-ed-for
account for	ac-'count-for
accounting	ac-'count-ing
accounting for	ac-'count-ing-for
accounts	ac-'counts
accounts for	ac-'counts-for
accoutrements	ac-'cou-tre-ments
accredit	ac-'cred-it
accredited	ac-'cred-it-ed
accrediting	ac-'cred-it-ing
accredits	ac-'cred-its
accrete	ac-'crete
accreted	ac-'cret-ed
accretes	ac-'cretes
accreting	ac-'cret-ing
accretion	ac-'cre-tion
accretions	ac-'cre-tions
accrue	ac-'crue
accrued	ac-'crued
accrues	ac-'crues
accruing	ac-'cru-ing
accumulate	ac-'cu-mu-late
accumulated	ac-'cu-mu-lat-ed
accumulates	ac-'cu-mu-lates
accumulating	ac-'cu-mu-lat-ing
accumulation	ac-"cu-mu-'la-tion
accumulations	ac-"cu-mu-'la-tions
accumulative	ac-'cu-mu-la-tive
accumulatively	ac-'cu-mu-la-tive-ly
accumulator	ac-'cu-mu-la-tor
accumulators	ac-'cu-mu-la-tors
accuracies	'ac-cu-ra-cies
accuracy	'ac-cu-ra-cy
accurate	'ac-cu-rate
accurately	'ac-cu-rate-ly
accursed	ac-'curs-ed
accursedly	ac-'curs-ed-ly
accurst	ac-'curst
accusation	"ac-cu-'sa-tion
accusations	"ac-cu-'sa-tions
accusative	ac-'cu-sa-tive
accusatives	ac-'cu-sa-tives
accuse	ac-'cuse
accused	ac-'cused
accuser	ac-'cus-er
accusers	ac-'cus-ers
accuses	ac-'cus-es
accusing	ac-'cus-ing
accusingly	ac-'cus-ing-ly
accustom	ac-'cus-tom
accustomed	ac-'cus-tomed
accustoming	ac-'cus-tom-ing
accustoms	ac-'cus-toms
ace	'ace
acerbic	a-'cer-bic
acerbities	a-'cer-bi-ties
acerbity	a-'cer-bi-ty
aces	'ac-es
acetate	'ac-e-tate
acetic	a-'ce-tic
acetic acid	a-"ce-tic-'ac-id
acetyl	'a-ce-tyl
acetylene	a-'cet-y-lene
ache	'ache
ached	'ached
aches	'aches
achievable	a-'chiev-a-ble
achieve	a-'chieve
achieved	a-'chieved
achievement	a-'chieve-ment
achievements	a-'chieve-ments
achieves	a-'chieves
achieving	a-'chiev-ing
Achilles	A-'chil-les
Achilles' heel	A-"chil-les'-'heel
Achilles' heels	A-"chil-les'-'heels
Achilles tendon	A-"chil-les-'ten-don
Achilles tendons	A-"chil-les-'ten-dons
aching	'ach-ing
achoo	a-'choo
acid	'ac-id
acidic	a-'cid-ic
acidified	a-'cid-i-fied
acidifies	a-'cid-i-fies
acidify	a-'cid-i-fy
acidifying	a-'cid-i-fy-ing
acidity	a-'cid-i-ty
acids	'ac-ids
acid test	"ac-id-'test
acid tests	"ac-id-'tests
acidulate	a-'cid-u-late
acidulated	a-'cid-u-lat-ed
acidulates	a-'cid-u-lates
acidulating	a-'cid-u-lat-ing
acidulous	a-'cid-u-lous
ack-ack	"ack-'ack
ack-acks	"ack-'acks
acknowledge	ac-'knowl-edge
acknowledged	ac-'knowl-edged
acknowledgement	ac-'knowl-edge-ment
acknowledgements	ac-'knowl-edge-ments
acknowledges	ac-'knowl-edg-es
acknowledging	ac-'knowl-edg-ing
acme	'ac-me
acne	'ac-ne
acolyte	'ac-o-lyte
acolytes	'ac-o-lytes
aconite	'ac-o-nite
aconites	'ac-o-nites
acorn	'a-corn
acorn-cup	'a-corn-cup
acorn-cups	'a-corn-cups
acorns	'a-corns
acoustic	a-'cous-tic
acoustically	a-'cous-ti-cal-ly
acoustics	a-'cous-tics
acquaintance	ac-'quaint-ance
acquaintances	ac-'quaint-anc-es
acquaintanceship	ac-'quaint-ance-ship
acquaintanceships	ac-'quaint-ance-ships
acquainted with	ac-'quaint-ed-with
acquainting with	ac-'quaint-ing-with
acquaints with	ac-'quaints-with
acquaint with	ac-'quaint-with
acquiesce	"ac-qui-'esce
acquiesced	"ac-qui-'esced
acquiescence	"ac-qui-'es-cence
acquiescent	"ac-qui-'es-cent
acquiescently	"ac-qui-'es-cent-ly
acquiesces	"ac-qui-'esc-es
acquiescing	"ac-qui-'esc-ing
acquisition	"ac-qui-'si-tion
acquisitions	"ac-qui-'si-tions
acquisitive	ac-'quis-i-tive
acquisitively	ac-'quis-i-tive-ly
acquisitiveness	ac-'quis-i-tive-ness
acquit	ac-'quit
acquits	ac-'quits
acquittal	ac-'quit-tal
acquittals	ac-'quit-tals
acquitted	ac-'quit-ted
acquitting	ac-'quit-ting
acre	'a-cre
acreage	'a-cre-age
acres	'a-cres
acrid	'ac-rid
acrimony	'ac-ri-mo-ny
acrobat	'ac-ro-bat
acrobatic	"ac-ro-'bat-ic
acrobatically	"ac-ro-'bat-i-cal-ly
acrobatics	"ac-ro-'bat-ics
acrobats	'ac-ro-bats
acronym	'ac-ro-nym
acronyms	'ac-ro-nyms
Acropolis	A-'crop-o-lis
acropolis	a-'crop-o-lis
acropolises	a-'crop-o-lis-es
across	a-'cross
across from	a-'cross-from
acrostic	a-'cros-tic
acrostics	a-'cros-tics
acrylic	a-'cryl-ic
acrylic fibre	a-"cryl-ic-'fi-bre
acrylic fibres	a-"cryl-ic-'fi-bres
acrylics	a-'cryl-ics
act	'act
act as	'act-as
acted	'act-ed
acted as	'act-ed-as
acted out	"act-ed-'out
acted up	"act-ed-'up
acted up to	"act-ed-'up-to
acting	'act-ing
acting as	'act-ing-as
acting out	"act-ing-'out
acting up	"act-ing-'up
acting up to	"act-ing-'up-to
actinic	ac-'tin-ic
action	'ac-tion
actionable	'ac-tion-a-ble
action painting	'ac-tion-"paint-ing
actions	'ac-tions
action stations	'ac-tion-"sta-tions
activate	'ac-ti-vate
activated	'ac-ti-vat-ed
activates	'ac-ti-vates
activating	'ac-ti-vat-ing
activation	"ac-ti-'va-tion
active	'ac-tive
actively	'ac-tive-ly
active service	"ac-tive-'serv-ice
active voice	"ac-tive-'voice
activist	'ac-tiv-ist
activists	'ac-tiv-ists
activities	ac-'tiv-i-ties
activity	ac-'tiv-i-ty
act of God	"act-of-'God
actor	'ac-tor
actors	'ac-tors
act out	"act-'out
actress	'ac-tress
actresses	'ac-tress-es
acts	'acts
Acts	'Acts
acts as	'acts-as
acts of God	"acts-of-'God
acts out	"acts-'out
acts up	"acts-'up
acts up to	"acts-'up-to
actualities	"ac-tu-'al-i-ties
actuality	"ac-tu-'al-i-ty
actuate	'ac-tu-ate
actuated	'ac-tu-at-ed
actuates	'ac-tu-ates
actuating	'ac-tu-at-ing
act up	"act-'up
act up to	"act-'up-to
acuity	a-'cu-i-ty
acumen	'a-cu-men
acupuncture	'ac-u-punc-ture
acute	a-'cute
acutely	a-'cute-ly
acuteness	a-'cute-ness
ad	'ad
adage	'ad-age
adages	'ad-ag-es
Adam	'Ad-am
adamancy	'ad-a-man-cy
adamant	'ad-a-mant
adamantine	"ad-a-'man-tine
adamantly	'ad-a-mant-ly
Adam's apple	"Ad-am's-'ap-ple
Adam's apples	"Ad-am's-'ap-ples
adapt	a-'dapt
adaptability	a-"dapt-a-'bil-i-ty
adaptable	a-'dapt-a-ble
adaptation	"ad-ap-'ta-tion
adaptations	"ad-ap-'ta-tions
adapted	a-'dapt-ed
adapter	a-'dapt-er
adapters	a-'dapt-ers
adapting	a-'dapt-ing
adapts	a-'dapts
add	'add
added	'add-ed
added to	'add-ed-to
added up	"add-ed-'up
added up to	"add-ed-'up-to
addenda	ad-'den-da
addendum	ad-'den-dum
adder	'ad-der
adders	'ad-ders
addict	ad-'dict
addicted	ad-'dict-ed
addicting	ad-'dict-ing
addiction	ad-'dic-tion
addictions	ad-'dic-tions
addictive	ad-'dic-tive
addicts	ad-'dicts
adding	'add-ing
adding-machine	'add-ing-ma-"chine
adding-machines	'add-ing-ma-"chines
adding to	'add-ing-to
adding up	"add-ing-'up
adding up to	"add-ing-'up-to
addition	ad-'di-tion
additional	ad-'di-tion-al
additionally	ad-'di-tion-al-ly
additions	ad-'di-tions
additive	'ad-di-tive
additives	'ad-di-tives
addle	'ad-dle
addle-brained	'ad-dle-"brained
addled	'ad-dled
addle-head	'ad-dle-head
addle-heads	'ad-dle-heads
addle-pated	'ad-dle-"pat-ed
addles	'ad-dles
address	ad-'dress
addressed	ad-'dressed
addressee	"ad-dress-'ee
addressees	"ad-dress-'ees
addresses	ad-'dress-es
addressing	ad-'dress-ing
Addressograph	Ad-'dres-so-graph
Addressographs	Ad-'dres-so-graphs
adds	'adds
adds to	'adds-to
adds up	"adds-'up
adds up to	"adds-'up-to
add to	'add-to
adduce	ad-'duce
adduced	ad-'duced
adduces	ad-'duc-es
adducing	ad-'duc-ing
add up	"add-'up
add up to	"add-'up-to
adenoidal	"ad-e-'noi-dal
adenoidally	"ad-e-'noid-al-ly
adenoids	'ad-e-noids
adept	'ad-ept
adepts	'a-depts
adequacy	'ad-e-qua-cy
adequate	'ad-e-quate
adequately	'ad-e-quate-ly
adhere	ad-'here
adhered	ad-'hered
adhered to	ad-'hered-to
adherence	ad-'her-ence
adherent	ad-'her-ent
adherents	ad-'her-ents
adheres	ad-'heres
adheres to	ad-'heres-to
adhere to	ad-'here-to
adhering	ad-'her-ing
adhering to	ad-'her-ing-to
adhesion	ad-'he-sion
adhesions	ad-'he-sions
adhesive	ad-'he-sive
adhesives	ad-'he-sives
ad hoc	"ad-'hoc
adieu	a-'dieu
adieux	a-'dieux
ad infinitum	"ad-in-fi-'ni-tum
ad interim	"ad-'in-ter-im
adipose	'ad-i-pose
adjacent	ad-'ja-cent
adjectival	"ad-jec-'ti-val
adjectivally	"ad-jec-'ti-val-ly
adjective	'ad-jec-tive
adjectives	'ad-jec-tives
adjoin	ad-'join
adjoined	ad-'joined
adjoining	ad-'join-ing
adjoins	ad-'joins
adjourn	ad-'journ
adjourned	ad-'journed
adjourning	ad-'journ-ing
adjournment	ad-'journ-ment
adjournments	ad-'journ-ments
adjourns	ad-'journs
adjudge	ad-'judge
adjudged	ad-'judged
adjudges	ad-'judg-es
adjudging	ad-'judg-ing
adjudicate	ad-'ju-di-cate
adjudicated	ad-'ju-di-cat-ed
adjudicates	ad-'ju-di-cates
adjudicating	ad-'ju-di-cat-ing
adjudication	ad-"ju-di-'ca-tion
adjudicator	ad-'ju-di-ca-tor
adjudicators	ad-'ju-di-ca-tors
adjunct	'ad-junct
adjuncts	'ad-juncts
adjuration	"ad-ju-'ra-tion
adjurations	"ad-ju-'ra-tions
adjure	ad-'jure
adjured	ad-'jured
adjures	ad-'jures
adjuring	ad-'jur-ing
adjust	ad-'just
adjustable	ad-'just-a-ble
adjusted	ad-'just-ed
adjuster	ad-'just-er
adjusters	ad-'just-ers
adjusting	ad-'just-ing
adjustment	ad-'just-ment
adjustments	ad-'just-ments
adjusts	ad-'justs
adjutant	'ad-ju-tant
adjutants	'ad-ju-tants
ad-lib	"ad-'lib
ad lib	"ad-'lib
ad-libbed	"ad-'libbed
ad-libbing	"ad-'lib-bing
ad libitum	"ad-'lib-i-tum
ad-libs	"ad-'libs
adman	'ad-man
admass	'ad-mass
admen	'ad-men
administer	ad-'min-is-ter
administered	ad-'min-is-tered
administered to	ad-'min-is-tered-to
administering	ad-'min-is-ter-ing
administering to	ad-'min-is-ter-ing-to
administers	ad-'min-is-ters
administers to	ad-'min-is-ters-to
administer to	ad-'min-is-ter-to
administration	ad-"min-is-'tra-tion
administrations	ad-"min-is-'tra-tions
administrative	ad-'min-is-tra-tive
administratively	ad-'min-is-tra-tive-ly
administrator	ad-'min-is-tra-tor
administrators	ad-'min-is-tra-tors
admirable	'ad-mi-ra-ble
admirably	'ad-mi-ra-bly
admiral	'ad-mi-ral
admirals	'ad-mi-rals
admiralties	'ad-mi-ral-ties
admiralty	'ad-mi-ral-ty
admiration	"ad-mi-'ra-tion
admissibility	ad-"mis-si-'bil-i-ty
admissible	ad-'mis-si-ble
admission	ad-'mis-sion
admissions	ad-'mis-sions
admit	ad-'mit
admit of	ad-'mit-of
admits	ad-'mits
admits of	ad-'mits-of
admittance	ad-'mit-tance
admitted	ad-'mit-ted
admittedly	ad-'mit-ted-ly
admitted of	ad-'mit-ted-of
admitting	ad-'mit-ting
admitting of	ad-'mit-ting-of
admix	ad-'mix
admixed	ad-'mixed
admixes	ad-'mix-es
admixing	ad-'mix-ing
admixture	ad-'mix-ture
admixtures	ad-'mix-tures
admonish	ad-'mon-ish
admonished	ad-'mon-ished
admonishes	ad-'mon-ish-es
admonishing	ad-'mon-ish-ing
admonishingly	ad-'mon-ish-ing-ly
admonition	"ad-mo-'ni-tion
admonitions	"ad-mo-'ni-tions
admonitory	ad-'mon-i-to-ry
ad nauseam	"ad-'nau-se-am
ado	a-'do
adobe	a-'do-be
adolescence	"ad-o-'les-cence
adolescent	"ad-o-'les-cent
adolescents	"ad-o-'les-cents
adopt	a-'dopt
adopted	a-'dopt-ed
adopting	a-'dopt-ing
adoption	a-'dop-tion
adoptions	a-'dop-tions
adoptive	a-'dop-tive
adopts	a-'dopts
adorable	a-'dor-a-ble
adorably	a-'dor-a-bly
adoration	"ad-o-'ra-tion
adore	a-'dore
adored	a-'dored
adorer	a-'dor-er
adorers	a-'dor-ers
adores	a-'dores
adoring	a-'dor-ing
adoringly	a-'dor-ing-ly
adorn	a-'dorn
adorned	a-'dorned
adorning	a-'dorn-ing
adornment	a-'dorn-ment
adornments	a-'dorn-ments
adorns	a-'dorns
adrenal	ad-'re-nal
adrenalin	ad-'ren-a-lin
adrift	a-'drift
adroit	a-'droit
adroitly	a-'droit-ly
adroitness	a-'droit-ness
ads	'ads
adulate	'ad-u-late
adulated	'ad-u-lat-ed
adulates	'ad-u-lates
adulating	'ad-u-lat-ing
adulation	"ad-u-'la-tion
adulator	'ad-u-la-tor
adulators	'ad-u-la-tors
adulatory	'ad-u-la-to-ry
adult	'a-dult
adult education	"a-dult-ed-u-'ca-tion
adulterant	a-'dul-ter-ant
adulterants	a-'dul-ter-ants
adulterate	a-'dul-ter-ate
adulterated	a-'dul-ter-at-ed
adulterates	a-'dul-ter-ates
adulterating	a-'dul-ter-at-ing
adulteration	a-"dul-ter-'a-tion
adulterations	a-"dul-ter-'a-tions
adulterer	a-'dul-ter-er
adulterers	a-'dul-ter-ers
adulteress	a-'dul-ter-ess
adulteresses	a-'dul-ter-ess-es
adulteries	a-'dul-ter-ies
adulterous	a-'dul-ter-ous
adultery	a-'dul-ter-y
adulthood	'a-dult-hood
adults	'a-dults
adumbrate	'ad-um-brate
adumbrated	'ad-um-brat-ed
adumbrates	'ad-um-brates
adumbrating	'ad-um-brat-ing
adumbration	"ad-um-'bra-tion
adumbrations	"ad-um-'bra-tions
ad valorem	"ad-va-'lo-rem
advance	ad-'vance
advanced	ad-'vanced
advanced level	ad-'vanced-"lev-el
advanced levels	ad-'vanced-"lev-els
advancement	ad-'vance-ment
advances	ad-'vanc-es
advancing	ad-'vanc-ing
advantage	ad-'van-tage
advantaged	ad-'van-taged
advantageous	"ad-van-'ta-geous
advantageously	"ad-van-'ta-geous-ly
advantages	ad-'van-tag-es
advantaging	ad-'van-tag-ing
advent	'ad-vent
Advent	'Ad-vent
Adventist	'Ad-vent-ist
Adventists	'Ad-vent-ists
adventitious	"ad-ven-'ti-tious
adventitiously	"ad-ven-'ti-tious-ly
adventure	ad-'ven-ture
adventured	ad-'ven-tured
adventurer	ad-'ven-tur-er
adventurers	ad-'ven-tur-ers
adventures	ad-'ven-tures
adventuresome	ad-'ven-ture-some
